Id,Pilot,Gender,Nat,SS,ES,Time,km/h,Distance,Dist.,Time.1,Score,Task,Unnamed: 2,Altitude,Adj.,GliderClass,Row,Flight Num,Date,Site,Launch Time,Flight Time,OLC Speed,Start Height,Height Over Start,Max Height,Landing Height,Height Gain,Height Difference,Min Vario,Max Vario,Max Gforce,OLC points,OLC km,ID,Glider,GPS,Start Time (UTC),UTC Correction,Landing Time,IGC File name,Flight Duration (hr),Made Goal,cumulative_score
9.0,Austin Kasserman,M,USA,12:40:36,16:42:56,04:02:20,42.9,175.3,550.4,449.6,1000.0,1,,,,D,6,6,07.08.2022,,12:18:02,04:40:54,0.0,102,2313,2415,265,13599,-163,-5.0,4.4,0,278.16,185.4,,Zeno2 Ozone,"Flyskyhy,7.3.2",17:18:02,-05:00:00,21:58:56,Austin Kasserman 2022-08-07-XFH-000-01.IGC,4.7,True,1000.0
23.0,Andrew Dahl,M,USA,13:10:54,17:23:50,04:12:56,41.1,175.3,550.4,360.7,911.0,1,,,,D,14,14,07.08.2022,,12:47:45,04:50:26,0.0,100,2157,2257,252,14037,-152,-4.8,6.4,0,281.4,187.6,NKN,NKN,"Flymaster,DS",17:47:45,-05:00:00,22:38:11,Andrew Dahl 2022-08-07_17_47_22.igc,4.8,True,911.0
27.0,David Siljeg,M,CRO,13:26:39,17:42:46,04:16:07,40.6,175.3,550.4,343.7,894.0,1,,,,C,17,17,07.08.2022,Hearne,13:05:35,04:50:03,0.0,91,2163,2254,257,13823,-166,-9.2,6.0,0,278.01,185.3,,OZONE Delta 4,samsung SM-G998U1 12 FW:0.9.8.1-beta,18:05:35,-05:00:00,22:55:38,David Siljeg 2500843.igc,4.8,True,894.0
40.0,Tyler Burns,M,USA,12:54:06,17:20:35,04:26:29,39.0,175.3,550.4,295.7,846.0,1,,,,D,8,8,07.08.2022,,12:28:50,05:05:39,0.0,91,2436,2527,253,15708,-162,-13.2,6.2,0,279.19,186.1,,Ozone Zeolite GT,"Flyskyhy,7.3.2",17:28:50,-05:00:00,22:34:29,Tyler Burns 2022-08-07-XFH-000-01.IGC,5.1,True,846.0
21.0,Josh Mcveigh,M,USA,12:52:49,17:32:23,04:39:34,37.2,175.3,550.4,244.2,795.0,1,,,,C,11,11,07.08.2022,,12:33:33,05:04:23,0.0,86,2246,2332,826,14774,-740,-4.4,6.2,0,277.65,185.1,,Air Design Volt 4,"Flyskyhy,7.3.2",17:33:33,-05:00:00,22:37:56,Josh McVeigh 2022-08-07-XFH-000-01.IGC,5.1,True,795.0
30.0,Max Montgomery,M,USA,12:10:30,16:52:04,04:41:34,36.9,175.3,550.4,236.9,787.0,1,,,,D,1,1,07.08.2022,Hearne,11:52:27,05:19:07,35.23,89,2073,2162,264,14667,-175,-5.8,7.4,0,281.07,187.4,,OZONE Zeno,Google Pixel 6 12 FW:0.9.7.6,16:52:27,-05:00:00,22:11:34,Max Montgomery 2022-08-07-XCT-MMO-01.igc,5.3,True,787.0
48.0,Chandler Papas,M,USA,12:54:42,17:54:08,04:59:26,34.7,175.3,550.4,176.4,727.0,1,,,,C,10,10,07.08.2022,,12:33:01,05:28:29,0.0,92,2039,2131,259,15561,-167,-5.0,5.4,0,277.23,184.8,NKN,Gin Camino,"Naviter,Oudie N",17:33:01,-05:00:00,23:01:30,Chandler Papas 2022-08-07-XNA-150644-02.igc,5.5,True,727.0
20.0,Chris Lee,M,USA,12:27:46,17:31:03,05:03:17,34.3,175.3,550.4,164.3,715.0,1,,,,D,4,4,07.08.2022,Hearne,12:04:43,05:32:18,0.0,83,2307,2390,963,15019,-880,-6.2,6.2,0,281.79,187.9,,ADVANCE Omega XAlps 3,motorola moto g(7) power 10 FW:0.9.7.6,17:04:43,-05:00:00,22:37:01,Chris Lee 2022-08-07-XCT-CLE-01.igc,5.5,True,715.0
44.0,Felix Figueroa,M,USA,12:26:02,17:30:52,05:04:50,34.1,175.3,550.4,159.5,710.0,1,,,,D,3,3,07.08.2022,Hearne,12:04:10,05:32:53,0.0,85,2055,2140,242,13710,-157,-4.8,5.4,0,276.83,184.6,,GIN GLIDERS Puma,samsung SM-G973U 12 FW:0.9.8.1-beta,17:04:10,-05:00:00,22:37:03,Felix Figueroa 2022-08-07-XCT-FFI-01.igc,5.5,True,710.0
45.0,Thomas Mccormick,M,USA,12:27:33,17:32:37,05:05:04,34.1,175.3,550.4,158.8,709.0,1,,,,C,5,5,07.08.2022,,12:09:18,05:33:50,0.0,87,2167,2254,251,13580,-164,-4.8,7.0,0,277.27,184.8,NKN,NKN,"Flymaster,DS",17:09:18,-05:00:00,22:43:08,Tom McCormick 2022-08-07_17_09_01.igc,5.6,True,709.0
35.0,David Prentice,M,USA,13:40:00,,,,162.43,510,,510.0,1,,,,C,18,18,07.08.2022,,13:16:48,04:46:48,0.0,98,2014,2112,245,12391,-147,-4.4,5.8,0,260.85,173.9,,Default,Oudie 4 HW:1.0,18:16:48,-05:00:00,23:03:36,David Prentice 2022-08-07-XCM-I1S-01.igc,4.8,False,510.0
13.0,Ben Parker,M,USA,12:40:29,,,,120.13,377.2,,377.0,1,,,,C,7,7,07.08.2022,Unknown,12:19:19,03:36:59,0.0,87,1872,1959,249,8947,-162,-5.5,5.0,0,197.92,131.9,,,FW:202206271341 HW:2.1,17:19:19,-05:00:00,20:56:18,Ben Parker 2022-08-07_12.19_Unknown.igc,3.6,False,377.0
4.0,Esau Diaz,M,USA,13:50:41,,,,112.02,351.7,,352.0,1,,,,C,20,20,07.08.2022,,13:28:43,03:36:53,0.0,86,1977,2063,191,9355,-105,-5.2,5.6,0,180.76,120.5,,Default,"Oudie 4 Full,R",18:28:43,-05:00:00,22:05:36,Esau Diaz 2022-08-07-XCM-KZS-02.igc,3.6,False,352.0
10.0,Moacir Thiele,M,USA,14:59:28,,,,109.8,344.8,,345.0,1,,,,C,12,12,07.08.2022,,12:39:16,02:26:58,0.0,96,1946,2042,163,6769,-67,-5.2,5.6,0,123.92,82.6,,777 QUEEN 2 Evo,"Flyskyhy,7.3.2",17:39:16,-05:00:00,20:06:14,Moacir Thiele 2022-08-07-XFH-000-01.IGC,2.4,False,345.0
18.0,Rick Fullmer,M,USA,14:59:28,,,,109.8,344.8,,345.0,1,,,,C,25,25,07.08.2022,,14:26:22,03:52:06,33.54,92,2382,2474,183,8683,-91,-5.2,6.6,0,194.62,129.7,NKN,NKN,"Flymaster,GPSSD,B203",19:26:22,-05:00:00,23:18:28,Rick Fullmer 220807192622.igc,3.9,False,345.0
8.0,Shawn Scott,M,USA,14:33:20,,,,96.12,301.8,,302.0,1,,,,D,23,23,07.08.2022,,14:17:10,02:55:45,0.0,120,1819,1939,119,7797,1,-4.8,5.4,0,158.84,105.9,NKN,Gin Leopard,"Naviter,Oudie N",19:17:10,-05:00:00,22:12:55,shawn scott 2022-08-07-XNA-150094-01.igc,2.9,False,302.0
3.0,Robert Simpson,M,USA,12:54:47,,,,75.19,236.1,,236.0,1,,,,B,9,9,07.08.2022,,12:29:33,02:46:28,0.0,86,1891,1977,148,8051,-62,-4.4,8.6,0,125.83,83.9,,Ozone Rush 4,"Flyskyhy,7.3.2",17:29:33,-05:00:00,20:16:01,Robert Simpson 2022-08-07-XFH-000-01.IGC,2.8,False,236.0
37.0,Gokcen Buyukbas,F,USA,15:26:23,,,,64.66,203,,203.0,1,,,,C,28,28,07.08.2022,,15:08:42,02:05:25,0.0,95,2300,2395,161,5354,-66,-6.6,5.2,0,106.97,71.3,,Ozone Alpina 4,"Flyskyhy,7.3.2",20:08:42,-05:00:00,22:14:07,Gokcen Buyukbas 2022-08-07-XFH-000-01.IGC,2.1,False,203.0
49.0,Dustin Pachura,M,USA,13:10:27,,,,54.71,171.8,,172.0,1,,,,C,16,16,07.08.2022,,12:53:47,01:57:31,0.0,84,1757,1841,104,5161,-20,-5.2,6.0,0,97.92,65.3,NKN,NKN,"Flymaster,LIVESD,B311",17:53:47,-05:00:00,19:51:18,Dustin Pachura 220807175333.igc,2.0,False,172.0
47.0,Zakey Faieq,M,USA,16:01:37,,,,43.62,137,,137.0,1,,,,B,31,31,07.08.2022,Hearne,15:36:00,01:49:28,0.0,83,2288,2371,116,4710,-33,-4.4,5.0,0,79.16,52.8,,GIN GLIDERS Calypso,Google Pixel 6 12 FW:0.9.7.6,20:36:00,-05:00:00,22:25:28,Zakey Faieq 2022-08-07-XCT-ZFX-03.igc,1.8,False,137.0
12.0,Valter Castilho,M,USA,12:28:04,,,,42.02,131.9,,132.0,1,,,,C,2,2,07.08.2022,,12:01:42,01:44:15,0.0,87,1924,2011,112,4230,-25,-4.4,5.8,0,78.13,52.1,NKN,NKN,"Flymaster,LiveSD,B301",17:01:42,-05:00:00,18:45:57,Valter Castilho 2022-08-07 17_01_27.igc,1.7,False,132.0
41.0,Brandon Brantley,M,USA,13:43:10,,,,22.0,69.1,,69.0,1,,,,B,19,19,07.08.2022,,13:24:29,01:12:40,0.0,91,1587,1678,138,3586,-47,-4.4,6.6,0,45.04,30.0,,,"Flyskyhy,7.3.2",18:24:29,-05:00:00,19:37:09,Brandon Brantley 2022-08-07-XFH-000-01.IGC,1.2,False,69.0
2.0,Jaime Vargas,M,COL,13:10:27,,,,17.59,55.2,,55.0,1,,,,B,15,15,07.08.2022,Hearne Municipal Airport-US,12:52:07,00:55:00,0.0,214,1447,1661,121,2340,93,-4.2,5.0,0,37.08,24.7,,161Ozone Delta 3 WBWG,"FLYMASTER,LIVE",17:52:07,-05:00:00,18:47:07,Jaime Vargas 8722.igc,0.9,False,55.0
25.0,Andria Lea,F,USA,14:37:39,,,,17.24,54.1,,54.0,1,,,,C,24,24,07.08.2022,,14:20:32,01:02:13,0.0,91,1497,1588,122,2730,-31,-4.6,6.4,0,37.76,25.2,,Triple Seven Queen 3,"Flyskyhy,7.3.2",19:20:32,-05:00:00,20:22:45,Andria Lea 2022-08-07-XFH-000-01.IGC,1.0,False,54.0
34.0,Christopher Dunlap,M,USA,,,,,7.0,22,,22.0,1,,,,B,29,29,07.08.2022,,15:08:47,00:08:37,0.0,86,366,452,86,346,0,-4.4,4.6,0,5.56,2.8,NKN,NKN,"Flymaster,NAVSD,B302",20:08:47,-05:00:00,20:17:24,Christopher Dunlap 220807200835.igc,0.1,False,22.0
22.0,Michael Bene,M,USA,,,,,7.0,22,,22.0,1,,,,B,13,13,07.08.2022,,12:43:03,00:25:22,0.0,78,886,964,107,1275,-29,-4.0,6.8,0,9.83,6.6,,Default,"Oudie 4 Full,Y",17:43:03,-05:00:00,18:08:25,Michael Bene 2022-08-07-XCM-4YF-01.igc,0.4,False,22.0
43.0,Emily Petersen,F,USA,14:59:08,,,,7.0,22,,22.0,1,,,,B,26,26,07.08.2022,,14:30:00,00:41:29,0.0,86,997,1083,96,1678,-10,-5.0,5.2,0,21.45,14.3,,,"Flyskyhy,7.3.2",19:30:00,-05:00:00,20:11:29,Emily Petersen 2022-08-07-XFH-000-01.IGC,0.7,False,22.0
14.0,Roxanne Lopez,F,USA,,,,,7.0,22,,22.0,1,,,,B,27,27,07.08.2022,,14:49:28,00:17:14,0.0,77,540,617,90,788,-13,-4.0,4.0,0,8.19,4.7,NKN,Nova Ion 4,"Naviter,Oudie N",19:49:28,-05:00:00,20:06:42,Roxanne Lopez 2022-08-07-XNA-150045-05.igc,0.3,False,22.0
16.0,Ioan Miftode,M,USA,,,,,7.0,22,,22.0,1,,,,B,21,21,07.08.2022,,13:40:50,00:05:58,0.0,84,373,457,88,360,-4,-5.0,5.4,0,5.33,3.0,,ARTIK 4,"Oudie 4 Full,Y",18:40:50,-05:00:00,18:46:48,ioan miftode 2022-08-07-ioan_miftode.igc,0.1,False,22.0
42.0,Corbin Petersen,M,USA,,,,,7.0,22,,22.0,1,,,,B,30,30,07.08.2022,,15:15:20,00:10:33,0.0,87,712,799,91,667,-4,-3.4,5.8,0,5.93,3.0,,,"Flyskyhy,7.3.2",20:15:20,-05:00:00,20:25:53,Corbin Petersen 2022-08-07-XFH-000-02.IGC,0.2,False,22.0
7.0,Lindsey Ripa,F,USA,,,,,7.0,22,,22.0,1,,,,C,22,22,07.08.2022,,13:53:48,00:09:27,0.0,94,339,433,107,386,-13,-2.4,4.6,0,4.21,2.8,,Air design Susi 3,"Flyskyhy,7.3.2",18:53:48,-05:00:00,19:03:15,Lindsey Ripa 2022-08-07-XFH-000-01.IGC,0.2,False,22.0
9.0,Austin Kasserman,,USA,12:32:30,17:01:27,04:28:57,39.0,176.72,568.4,431.6,1000.0,2,M,,,D,43,44,08.08.2022,,12:06:13,05:06:17,0.0,88,2605,2693,361,14721,-273,-6.6,5.2,0,284.36,189.6,,Zeno2 Ozone,"Flyskyhy,7.3.2",17:06:13,-05:00:00,22:12:30,Austin Kasserman 2022-08-08-XFH-000-01.IGC,5.1,True,2000.0
23.0,Andrew Dahl,,USA,12:31:02,17:05:23,04:34:21,38.2,176.72,568.4,379,947.0,2,M,,,D,42,42,08.08.2022,,11:54:07,05:47:08,0.0,78,2579,2657,324,16139,-246,-4.8,6.4,0,295.79,197.2,NKN,NKN,"Flymaster,DS",16:54:07,-05:00:00,22:41:15,Andrew Dahl 2022-08-08_16_53_57.igc,5.8,True,1858.0
35.0,David Prentice,,USA,13:10:51,18:09:47,04:58:56,35.1,176.72,568.4,266.8,835.0,2,M,,,C,52,52,08.08.2022,,12:45:23,05:53:00,0.0,83,2786,2869,334,16526,-251,-5.0,5.4,0,293.56,195.7,,Default,Oudie 4 HW:1.0,17:45:23,-05:00:00,23:38:23,David Prentice 2022-08-08-XCM-I1S-02.igc,5.9,True,1345.0
40.0,Tyler Burns,,USA,12:25:28,17:31:36,05:06:08,34.2,176.72,568.4,241.3,810.0,2,M,,,D,36,36,08.08.2022,,11:16:57,06:22:31,0.0,86,2607,2693,341,17976,-255,-5.8,7.6,0,285.13,190.1,,Ozone Zeolite GT,"Flyskyhy,7.3.2",16:16:57,-05:00:00,22:39:28,Tyler Burns 2022-08-08-XFH-000-01.IGC,6.4,True,1656.0
49.0,Dustin Pachura,,USA,12:50:49,18:10:30,05:19:41,32.8,176.72,568.4,197.5,766.0,2,M,,,C,46,46,08.08.2022,,12:14:13,06:11:34,0.0,82,2122,2204,328,19128,-246,-5.0,6.2,0,287.46,191.6,NKN,NKN,"Flymaster,LIVESD,B311",17:14:13,-05:00:00,23:25:47,Dustin Pachura 220808171358.igc,6.2,True,938.0
10.0,Moacir Thiele,,USA,12:25:55,17:55:59,05:30:04,31.8,176.72,568.4,166.6,735.0,2,M,,,C,44,43,08.08.2022,,12:06:17,06:13:17,0.0,88,2906,2994,333,20029,-245,-5.6,7.0,0,282.88,188.6,,777 QUEEN 2 Evo,"Flyskyhy,7.3.2",17:06:17,-05:00:00,23:19:34,Moacir Thiele 2022-08-08-XFH-000-01.IGC,6.2,True,1080.0
12.0,Valter Castilho,,USA,11:36:44,17:17:12,05:40:28,30.8,176.72,568.4,137.3,706.0,2,M,,,C,34,34,08.08.2022,,11:10:22,06:28:59,0.0,81,2861,2942,334,18518,-253,-5.8,5.6,0,286.5,191.0,NKN,NKN,"Flymaster,LiveSD,B301",16:10:22,-05:00:00,22:39:21,Valter Castilho 2022-08-08 16_10_13.igc,6.5,True,838.0
20.0,Chris Lee,,USA,12:25:21,18:14:16,05:48:55,30.0,176.72,568.4,114.6,683.0,2,M,,,D,40,40,08.08.2022,Hearne,11:33:34,07:06:42,0.0,82,2556,2638,337,18576,-255,-5.2,6.6,0,298.83,199.2,,ADVANCE Omega XAlps 3,motorola moto g(7) power 10 FW:0.9.7.6,16:33:34,-05:00:00,23:40:16,Chris Lee 2022-08-08-XCT-CLE-01.igc,7.1,True,1398.0
